Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:55:34987600,310.848,302.5764,303.0156,296.818,250.524835,1087,acq500
26/10/2022 16:55:35986000,310.8236,302.4056,303.0156,296.9156,251.450555,1084,acq500
26/10/2022 16:55:36984400,310.848,302.4056,303.04,296.94,249.599115,1086,acq500
26/10/2022 16:55:37998400,310.848,302.6252,303.0888,296.94,249.599115,1084,acq500
26/10/2022 16:55:38996800,310.8236,302.6496,303.0888,296.9156,249.599115,1082,acq500
26/10/2022 16:55:39995200,310.8236,302.6984,303.0888,296.94,249.599115,1083,acq500
26/10/2022 16:55:40993600,310.848,302.6008,303.0644,296.94,250.524835,1082,acq500
26/10/2022 16:55:41992000,310.8236,302.6984,303.1376,296.8424,249.599115,1082,acq500
26/10/2022 16:55:42990400,310.8236,302.6984,303.1376,296.94,250.524835,1083,acq500
26/10/2022 16:55:43988800,310.7504,302.6496,303.0888,296.8424,250.524835,1084,acq500
26/10/2022 16:55:45002800,310.726,302.5032,303.0888,296.8424,251.450555,1084,acq500
26/10/2022 16:55:46001200,310.726,302.4056,303.0888,296.8424,251.450555,1086,acq500
26/10/2022 16:55:46984000,310.726,302.3812,303.04,296.8424,252.376275,1084,acq500
26/10/2022 16:55:47998000,310.7016,302.5032,303.04,296.94,243.119075,1084,acq500
26/10/2022 16:55:48996400,310.7016,302.5276,303.04,296.94,251.450555,1086,acq500
26/10/2022 16:55:49994800,310.7016,302.5032,303.04,296.818,251.450555,1084,acq500
26/10/2022 16:55:50993200,310.726,302.5276,303.04,296.818,251.450555,1087,acq500
26/10/2022 16:55:51991600,310.7016,302.5032,303.04,296.8912,250.524835,1087,acq500
26/10/2022 16:55:52991000,310.7504,302.5276,303.0156,296.9156,251.450555,1086,acq500
26/10/2022 16:55:58981400,310.7016,302.3812,303.04,296.9156,243.119075,1082,acq500
26/10/2022 16:55:59995400,310.726,302.5276,303.04,296.8912,244.970515,1082,acq500
26/10/2022 16:56:00993800,310.726,302.7228,302.918,296.8912,246.821955,1082,acq500
26/10/2022 16:56:02007800,310.7016,302.6252,303.0156,296.9156,242.193355,1083,acq500
