Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:54:06908800,310.8724,302.4056,301.9664,296.94,450.542955,1365.15,acq500
26/10/2022 16:54:08499800,310.8236,302.3568,301.9664,296.94,450.542955,1364.15,acq500
26/10/2022 16:54:08904800,310.8724,302.4056,301.9664,296.94,449.617235,1364.15,acq500
26/10/2022 16:54:09905800,310.8724,302.5032,301.9664,296.94,448.691515,1365.15,acq500
26/10/2022 16:54:12405800,310.8724,302.2348,301.9664,296.94,449.617235,1361.15,acq500
26/10/2022 16:54:13207800,310.9456,302.1616,301.9664,296.94,448.691515,1357.15,acq500
26/10/2022 16:54:14405000,310.8724,302.1616,301.9664,296.8424,446.840075,1357.15,acq500
26/10/2022 16:54:15952400,310.8968,302.4056,301.9664,296.94,444.988635,1361.15,acq500
26/10/2022 16:54:17885400,310.8724,302.2836,301.9908,296.8912,448.691515,1364.15,acq500
26/10/2022 16:54:19026400,310.8724,302.4056,301.942,296.8424,448.691515,1365.15,acq500
26/10/2022 16:54:20273400,310.8724,302.5032,301.9664,296.8424,449.617235,1365.15,acq500
26/10/2022 16:54:21174400,310.8968,302.3568,301.9664,296.9156,448.691515,1365.15,acq500
26/10/2022 16:54:22011400,310.8968,302.4056,301.9664,296.94,449.617235,1364.15,acq500
26/10/2022 16:54:23022400,310.8968,302.3568,301.9664,296.94,451.468675,1362.15,acq500
26/10/2022 16:54:24043400,310.8968,302.4056,301.9664,296.94,449.617235,1362.15,acq500
26/10/2022 16:54:25099400,310.8724,302.3812,301.9908,296.94,446.840075,1362.15,acq500
26/10/2022 16:54:25986400,310.8968,302.3812,301.9908,296.94,445.914355,1364.15,acq500
26/10/2022 16:54:27388400,310.8724,302.4056,301.9664,296.8912,448.691515,1362.15,acq500
26/10/2022 16:54:28116400,310.8968,302.5032,301.9664,296.8424,446.840075,1361.15,acq500
26/10/2022 16:54:28982400,310.8724,302.6496,301.9664,296.8424,446.840075,1362.15,acq500
26/10/2022 16:54:30068000,310.8968,302.4544,301.9664,296.8424,448.691515,1359.15,acq500
26/10/2022 16:54:31387200,310.8724,302.3568,301.9664,296.9156,449.617235,1359.15,acq500
26/10/2022 16:54:32009200,310.848,302.4056,301.9664,296.94,448.691515,1359.15,acq500
26/10/2022 16:54:32984200,310.8236,302.4056,301.942,296.9644,445.914355,1362.15,acq500
26/10/2022 16:54:34057200,310.8968,302.4056,301.9664,296.8912,449.617235,1364.15,acq500
26/10/2022 16:54:35000200,310.8968,302.5032,301.8932,296.94,450.542955,1362.15,acq500
26/10/2022 16:54:35985200,310.8236,302.5032,301.9664,296.94,451.468675,1362.15,acq500
26/10/2022 16:54:36969200,310.8724,302.3568,301.9664,296.8424,451.468675,1362.15,acq500
26/10/2022 16:54:37967600,310.8724,302.3324,301.942,296.94,446.840075,1360.15,acq500
26/10/2022 16:54:38981600,310.7748,302.2836,301.942,296.8424,448.691515,1362.15,acq500
26/10/2022 16:54:39964400,310.7016,302.3324,301.9664,296.94,446.840075,1360.15,acq500
26/10/2022 16:54:40978400,310.7504,302.5276,301.9908,296.94,446.840075,1360.15,acq500
26/10/2022 16:54:41976800,310.726,302.6496,301.9664,296.94,448.691515,1360.15,acq500
26/10/2022 16:54:42975200,310.848,302.4056,301.9664,296.9156,446.840075,1361.15,acq500
26/10/2022 16:54:43973600,310.8236,302.4056,301.9664,296.8424,448.691515,1360.15,acq500
26/10/2022 16:54:44972000,310.726,302.4056,301.9664,296.8424,446.840075,1361.15,acq500
