Data,T1,T2,T3,T4,F1,F2,Amostra
27/10/2022 20:19:17445400,38.991200000,32.915600000,35.819200000,22.618800000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:18490600,38.991200000,32.891200000,35.697200000,22.570000000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:19551400,38.991200000,32.818000000,35.868000000,22.618800000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:20471800,39.040000000,32.915600000,35.794800000,22.594400000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:21485800,39.015600000,32.769200000,35.794800000,22.618800000,233.861875000,336.000000000,1000V9
27/10/2022 20:19:22562200,39.040000000,32.769200000,35.868000000,22.594400000,233.861875000,337.000000000,1000V9
27/10/2022 20:19:23467000,38.991200000,32.769200000,35.868000000,22.618800000,235.713315000,339.000000000,1000V9
27/10/2022 20:19:24465400,39.015600000,32.891200000,35.868000000,22.618800000,231.084715000,339.000000000,1000V9
27/10/2022 20:19:25463800,39.015600000,32.744800000,35.892400000,22.618800000,235.713315000,335.000000000,1000V9
27/10/2022 20:19:26493400,39.088800000,32.647200000,35.892400000,22.570000000,233.861875000,334.000000000,1000V9
27/10/2022 20:19:27460600,38.991200000,32.866800000,35.868000000,22.618800000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:28474600,38.991200000,32.891200000,35.819200000,22.618800000,233.861875000,332.000000000,1000V9
27/10/2022 20:19:29457400,39.015600000,32.988800000,35.941200000,22.594400000,232.936155000,336.000000000,1000V9
27/10/2022 20:19:30487000,39.040000000,33.013200000,35.868000000,22.618800000,232.936155000,337.000000000,1000V9
27/10/2022 20:19:31469800,38.991200000,32.866800000,35.868000000,22.496800000,232.936155000,335.000000000,1000V9
27/10/2022 20:19:32452600,38.966800000,32.915600000,35.868000000,22.521200000,231.084715000,335.000000000,1000V9
27/10/2022 20:19:33466600,38.991200000,32.891200000,35.819200000,22.618800000,233.861875000,337.000000000,1000V9
27/10/2022 20:19:34465000,38.991200000,32.915600000,35.868000000,22.594400000,233.861875000,335.000000000,1000V9
27/10/2022 20:19:35463400,38.991200000,32.866800000,35.868000000,22.521200000,233.861875000,332.000000000,1000V9
27/10/2022 20:19:36461800,39.040000000,32.891200000,35.868000000,22.521200000,233.861875000,332.000000000,1000V9
27/10/2022 20:19:37460200,38.966800000,32.915600000,35.868000000,22.618800000,233.861875000,334.000000000,1000V9
27/10/2022 20:19:38458600,39.015600000,32.866800000,35.819200000,22.594400000,232.936155000,335.000000000,1000V9
27/10/2022 20:19:39488200,38.991200000,32.891200000,35.892400000,22.618800000,232.010435000,334.000000000,1000V9
27/10/2022 20:19:40486600,39.015600000,32.988800000,35.868000000,22.594400000,235.713315000,334.000000000,1000V9
27/10/2022 20:19:49363000,39.015600000,33.062000000,35.868000000,22.594400000,238.490475000,336.000000000,1000V9
27/10/2022 20:19:50361400,39.015600000,33.037600000,35.868000000,22.521200000,238.490475000,335.000000000,1000V9
27/10/2022 20:19:51359800,38.991200000,32.988800000,35.868000000,22.521200000,240.341915000,335.000000000,1000V9
27/10/2022 20:19:52358200,39.137600000,32.988800000,35.892400000,22.594400000,237.564755000,335.000000000,1000V9
27/10/2022 20:19:53356600,38.869200000,32.988800000,35.868000000,22.618800000,241.267635000,336.000000000,1000V9
27/10/2022 20:19:54370600,38.991200000,33.062000000,35.868000000,22.618800000,242.193355000,339.000000000,1000V9
27/10/2022 20:19:55353400,38.991200000,33.135200000,35.990000000,22.496800000,238.490475000,337.000000000,1000V9
27/10/2022 20:20:01499800,39.015600000,32.891200000,35.868000000,22.594400000,241.267635000,337.000000000,1000V9
27/10/2022 20:20:02513800,39.040000000,32.940000000,35.916800000,22.618800000,238.490475000,337.000000000,1000V9
27/10/2022 20:20:03512200,38.918000000,33.013200000,36.038800000,22.594400000,242.193355000,335.000000000,1000V9
27/10/2022 20:20:04541800,39.040000000,32.940000000,36.014400000,22.618800000,238.490475000,334.000000000,1000V9
